Rating,Date
10,15/11/1972
6.3,19/04/1955
3,27/10/1957
6,01/04/1957
1,01/07/1981
6.5,01/01/1976
6.8,04/09/1952
5,19/06/1953
0,28/09/1951
5.2,25/04/1954
4.2,23/04/1955
5.4,21/09/1971
5,30/04/1969
6.3,21/10/1953
6,02/06/1980
3.7,25/08/1975
3.1,01/08/1957
5.3,22/03/1949
5.2,28/12/1964
0,28/01/1941
7,29/08/1947
6,01/12/1955
0,10/12/1941
0,28/03/1985
0,28/02/1976
3.3,18/02/1955
4.5,29/11/1953
5,29/10/1958
6,22/03/1970
6,01/12/2016
5,02/05/1947
5.7,03/01/1955
4.8,08/10/1952
6.2,30/01/1957
6.7,03/08/1955
7.8,01/09/1976
7.6,26/05/1954
8.2,29/01/1964
8.7,14/03/1972
6.9,18/12/1980
7.5,07/03/1973
7.7,06/06/1956
7.6,01/06/1950
3,26/10/1952
5.7,21/10/1983
4.1,16/04/1956
5.7,16/05/1952
6.7,13/11/1957
6,01/02/1952
7,01/09/1958
5.6,05/04/1954
5.3,04/10/1973
7.5,11/12/1952
6,11/05/1979
5.1,25/05/1949
4.5,22/02/1953
6.8,22/10/1953
5.8,01/10/1954
6.4,28/12/1956
6.4,20/12/1978
6.4,17/09/1954
6.7,28/11/1981
7.5,04/03/1970
